# acars_data.csv - reference tables for analyse_acars.py
# Airports, aerodromes, heliports and seaplane bases: everything that
# carries a usable code. Only entries with no code at all are dropped,
# since they can never appear in a message. Never read from the network.
#   airports: OurAirports, public domain - https://ourairports.com/data/
#   airlines: OpenFlights, ODbL          - https://openflights.org/data.html
# type,iata,icao,label   (A = airport, L = airline)
A,COB,,Coolibah
A,CRJ,,Coorabie
A,CRY,,Carlton Hill
A,CSD,,Cresswell Downs
A,DYM,,Diamantina Lakes
A,HIS,,Hayman Island Resort Seaplane Base
A,HLV,,Helenvale
A,KBD,,Kimberley Downs
A,KGR,,Kulgera (Ghan)
A,PEP,,Peppimenarti
A,RDA,,Rockhampton Downs
A,SSK,,Sturt Creek
A,SWB,,Shaw River
A,TWP,,Torwood
A,ZVG,,Springvale
A,AWR,,Awar Airport (unusable)
A,AXF,,Alxa Left Banner Bayanhot
A,AXO,,Pantar Kabir
A,AMF,AYAA,Ama
A,UAE,AYAE,Mount Aue
A,AFR,AYAF,Afore Airstrip
A,AUP,AYAG,Agaun
A,ATP,AYAI,Aitape
A,AIH,AYAK,Aiambak
A,AMU,AYAM,Amanab
A,ADC,AYAN,Andakombe (Andekombe)
A,AIE,AYAO,Aiome
A,KPM,AYAQ,Kompiam
A,AUJ,AYAT,Ambunti
A,,AYAU,Arou Airstrip
A,AWB,AYAW,Awaba
A,AEK,AYAX,Aseki
A,AYU,AYAY,Aiyura (Aiyura Valley)
A,VMU,AYBA,Baimuru
A,,AYBB,Bak Airstrip
A,BCP,AYBC,Bambu
A,BNM,AYBD,Bodinumu
A,BMZ,AYBF,Bamu
A,BDZ,AYBG,Baindoung
A,BSP,AYBH,Bensbach
A,BWP,AYBI,Bewani
A,BUA,AYBK,Buka (Buka Island)
A,BAA,AYBL,Bialla (Bialla  Matalilu  Ewase)
A,OPU,AYBM,Balimo
A,BMH,AYBO,Bomai
A,BPD,AYBP,Bapi Airstrip
A,BPK,AYBQ,Biangabip
A,BRP,AYBR,Biaru
A,,AYBS,Begesin Airstrip
A,,AYBT,Batri Airstrip
A,BUL,AYBU,Bulolo
A,,AYBW,Blackwara
A,,AYBX,Wowobo Airstrip
A,,AYBY,Wuyabo Airstrip
A,XBN,AYBZ,Biniguni
A,CVB,AYCB,Chungribu
A,CGC,AYCG,Cape Gloucester
A,CMU,AYCH,Chimbu (Kundiawa)
A,,AYCN,Changriwa Airstrip
A,SQT,AYCS,China Strait Airstrip (Samarai Island)
A,DBP,AYDB,Debepare
A,,AYDD,Dobu Airstrip
A,DER,AYDE,Derim
A,BNT,AYDI,Bundi
A,MDM,AYDK,Munduku
A,KPF,AYDL,Kondobol
A,DNU,AYDN,Dinangat
A,DOI,AYDO,Doini (Castori Islets)
A,,AYDP,Tsendiap Airstrip
A,,AYDQ,Dimisisi Airstrip
A,DOO,AYDR,Dorobisoro
A,,AYDS,Dusin
A,DAU,AYDU,Daru
A,,AYDW,Dewara Airstrip
A,,AYDY,Sindeni Airstrip
A,KRU,AYEA,Kerau (Gunim)
A,EMS,AYEB,Embessa
A,XYR,AYED,Edwaki (Yellow River Mission)
A,EMI,AYEE,Emirau (Emirau Island)
A,EFG,AYEF,Efogi
A,,AYEG,Mengina Airstrip
A,MHY,AYEH,Morehead
A,,AYEI,Milei Airstrip
A,,AYEK,Membok Airstrip
A,EPT,AYEL,Eliptamin
A,,AYEM,Eleme Airstrip
A,EGA,AYEN,Engati Airstrip
A,EMO,AYEO,Emo River Airstrip (Emo Mission)
A,ERU,AYER,Erume
A,MFZ,AYES,Meselia (Demgulu)
A,BOT,AYET,Bosset
A,,AYEU,Eloaua Airstrip (Eloaua Island)
A,ERE,AYEV,Erave
A,SWE,AYEW,Siwea
A,,AYEY,Mirsey Airstrip
A,,AYEZ,Moropote Airstrip
A,FNE,AYFA,Fane (Fane Mission)
A,FRQ,AYFE,Feramin
A,,AYFF,Faia
A,FIN,AYFI,Finschhafen (Buki)
A,,AYFK,Foroko Airstrip
A,,AYFO,Fogomaiu Airstrip
A,FAQ,AYFR,Frieda River
A,,AYFS,Fas Airstrip (Fugari)
A,FUM,AYFU,Fuma
A,,AYFW,Kwieftim Airstrip
A,GKA,AYGA,Goroka (Goronka)
A,GEW,AYGC,Gewoia
A,,AYGD,Gimi Airstrip (Amusa)
A,,AYGE,Geigorobi Airstrip
A,GUG,AYGF,Guari
A,GRL,AYGG,Garasa (Au)
A,,AYGH,Guhu Airstrip
A,GAR,AYGI,Garaina
A,GAZ,AYGJ,Guasopa (Woodlark (Muyua) Island)
A,GOE,AYGL,Gonaili
A,,AYGM,Gema Airstrip
A,GUR,AYGN,Gurney
A,,AYGO,Gokto Airstrip
A,GAP,AYGP,Gusap
A,,AYGQ,Gawa Airstrip
A,PNP,AYGR,Girua (Popondetta)
A,GBC,AYGS,Gasuke
A,GMI,AYGT,Gasmata Island
A,AKG,AYGU,Anguganak
A,GVI,AYGV,Green River
A,,AYGW,Guwasa
A,GOC,AYGX,Gora Airstrip
A,,AYGY,Guavi Airstrip
A,,AYHA,Haia
A,HBD,AYHB,Habi
A,HNI,AYHE,Heiweni
A,HYF,AYHF,Hayfields (Bainyik)
A,HNN,AYHH,Honinabi
A,,AYHJ,Hewa Airstrip
A,HKN,AYHK,Hoskins (Kimbe)
A,,AYHL,Hesalibi Airstrip
A,,AYHN,Habina Airstrip
A,HIT,AYHO,Haivaro
A,,AYHQ,Hauna Airstrip
A,,AYHT,Hotmin Airstrip (Hotmin Mission)
A,HWA,AYHU,Hawabango
A,,AYHW,Haewenai Airstrip
A,,AYHX,Herowena Airstrip (Herowana)
A,,AYHY,Huya Airstrip
A,IIS,AYIA,Nissan Island
A,,AYIB,Ibil Airstrip
A,IDN,AYID,Indagen
A,IMN,AYII,Imane
A,KGM,AYIM,Kungim
A,,AYIN,Busilmin Airstrip
A,IMD,AYIO,Imonda
A,,AYIP,Iropena Airstrip
A,KIE,AYIQ,Aropa (Kieta)
A,,AYIR,Inaru Airstrip
A,,AYIS,Isan Airstrip
A,,AYIT,Iteri Airstrip
A,IAL,AYIU,Ialibu
A,WSA,AYIW,Wasua
A,WIU,AYIX,Witu (Garove Island)
A,MPX,AYIY,Miyanmin
A,,AYJE,Yomneri Airstrip
A,KGH,AYJO,Yongai
A,JOP,AYJS,Josephstaal
A,,AYJW,Wauru Airstrip
A,LSA,AYKA,Losuia
A,KBM,AYKB,Kabwum
A,KDR,AYKC,Kandrian
A,KMF,AYKD,Kamina (Hoieti)
A,KPA,AYKG,Kopiago
A,KAQ,AYKH,Kamulai (Kamulai Mission)
A,UNG,AYKI,Kiunga
A,KNE,AYKJ,Kanainj
A,KRI,AYKK,Kikori
A,,AYKL,Kafle Airstrip
A,KMA,AYKM,Kerema
A,,AYKN,Kubuna Airstrip (Kubuna Mission)
A,KKD,AYKO,Kokoda
A,KGW,AYKQ,Kagi
A,KRX,AYKR,Kar Kar (Kar Kar Island)
A,KZF,AYKT,Kaintiba
A,KUQ,AYKU,Kuri
A,KVG,AYKV,Kavieng
A,KWO,AYKW,Kawito
